,BH008,BH041,V30121,INCNUM
401,NH,2015,7,20
402,NH,2015,8,489
403,NH,2015,9,4
404,NH,2015,11,21
405,NH,2015,12,180
406,NH,2015,13,47
407,NH,2015,14,4
408,NH,2015,15,49
409,NH,2015,16,357
410,OH,2015,-8,104528
411,OH,2015,-7,2191
412,OH,2015,-6,277334
413,OH,2015,1,1750
414,OH,2015,2,939
415,OH,2015,3,68
416,OH,2015,4,5082
417,OH,2015,5,16970
418,OH,2015,6,64
419,OH,2015,7,83
420,OH,2015,8,1913
421,OH,2015,9,57
422,OH,2015,10,41
423,OH,2015,11,120
424,OH,2015,12,1088
425,OH,2015,13,190
426,OH,2015,14,37
427,OH,2015,15,43
428,OH,2015,16,2050
429,OK,2015,-8,13878
430,OK,2015,-7,681
431,OK,2015,-6,33126
432,OK,2015,1,32
433,OK,2015,2,62
434,OK,2015,3,4
435,OK,2015,4,35
436,OK,2015,5,3269
437,OK,2015,6,31
438,OK,2015,7,24
439,OK,2015,8,148
440,OK,2015,9,3
441,OK,2015,10,8
442,OK,2015,11,3
443,OK,2015,12,1838
444,OK,2015,13,31
445,OK,2015,14,23
446,OK,2015,15,65
447,OK,2015,16,247
448,OR,2015,-8,14962
449,OR,2015,-7,412
450,OR,2015,-6,59412
451,OR,2015,1,1
452,OR,2015,2,132
453,OR,2015,3,60
454,OR,2015,4,1456
455,OR,2015,5,4240
456,OR,2015,6,18
457,OR,2015,7,14
458,OR,2015,8,280
459,OR,2015,9,9
460,OR,2015,11,38
461,OR,2015,12,5127
462,OR,2015,13,26
463,OR,2015,14,4
464,OR,2015,15,42
465,OR,2015,16,212
466,PA,2015,-8,1022
467,PA,2015,-7,8
468,PA,2015,-6,4277
469,PA,2015,1,21
470,PA,2015,2,11
471,PA,2015,3,2
472,PA,2015,4,91
473,PA,2015,5,371
474,PA,2015,7,5
475,PA,2015,8,24
476,PA,2015,10,2
477,PA,2015,11,4
478,PA,2015,12,12
479,PA,2015,13,3
480,PA,2015,14,1
481,PA,2015,15,3
482,PA,2015,16,29
483,RI,2015,-8,7727
484,RI,2015,-7,33
485,RI,2015,-6,20852
486,RI,2015,1,215
487,RI,2015,2,297
488,RI,2015,3,14
489,RI,2015,4,351
490,RI,2015,5,1802
491,RI,2015,6,5
492,RI,2015,7,14
493,RI,2015,8,160
494,RI,2015,9,4
495,RI,2015,10,1
496,RI,2015,11,9
497,RI,2015,12,55
498,RI,2015,13,17
499,RI,2015,14,4
500,RI,2015,15,30
501,RI,2015,16,174
502,SC,2015,-9,4
503,SC,2015,-8,74917
504,SC,2015,-7,1206
505,SC,2015,-6,207574
506,SC,2015,1,2830
507,SC,2015,2,1520
508,SC,2015,3,56
509,SC,2015,4,876
510,SC,2015,5,20828
511,SC,2015,6,64
512,SC,2015,7,52
513,SC,2015,8,1113
514,SC,2015,9,11
515,SC,2015,11,70
516,SC,2015,12,2585
517,SC,2015,13,167
518,SC,2015,14,62
519,SC,2015,15,302
520,SC,2015,16,990
521,SD,2015,-8,8761
522,SD,2015,-7,317
523,SD,2015,-6,24630
524,SD,2015,1,6
525,SD,2015,2,58
526,SD,2015,3,62
527,SD,2015,4,10
528,SD,2015,5,3747
529,SD,2015,6,12
530,SD,2015,7,12
531,SD,2015,8,103
532,SD,2015,9,15
533,SD,2015,10,1
534,SD,2015,11,25
535,SD,2015,12,1305
536,SD,2015,13,45
537,SD,2015,14,7
538,SD,2015,15,39
539,SD,2015,16,352
540,SD,2015,93,43
541,TN,2015,-9,18
542,TN,2015,-8,115213
543,TN,2015,-7,394
544,TN,2015,-6,280603
